course_code,course_name,material_type,material_title,material_link,description,keywords
EEE 2152,Elecrical Drives and Instrumentation Sessional,Lab Manual,Lab Manual On machine course,https://drive.google.com/drive/folders/12MdGZ0ippBHCKmc6wIwQNcuArooYJQtL,"covers use of motor,generator etc","Machine, AC, DC, motor, genrator"
Math 2113,Vector Analysis and Linear Algebra,Book,Vecor Analysis and Linear Algebra Book,https://drive.google.com/drive/folders/15deIr0bFYozC5ERPkGs5nR0vL8fCZsJ6,vector and linear algebra concept,"math, vector, linear algebra"
Math 2113,Vector Analysis and Linear Algebra,Slide,Vector Analysis and Linear Algebra Slide,https://drive.google.com/drive/folders/15deIr0bFYozC5ERPkGs5nR0vL8fCZsJ6,vector and linear algebra concept covered by teacher,"math, vector, linear algebra"
Math 2113,Vector Analysis and Linear Algebra,Video,Vector Analysis and Linear Algebra tutorial Video,https://www.youtube.com/watch?v=1XlT3Y2oyAU&list=PLU6SqdYcYsfI7Ebw_j-Vy8YKHdbHKP9am,vector and linear algebra tutorial,"math, vector, linear algebra"
Hum 2113,"Economics, Government and Sociology",Book,Economics Book,https://drive.google.com/drive/folders/1NGCFukfiFiUzCHZlI1pVsiCaPEIzACav,covers concept of economics,economics
Hum 2113,"Economics, Government and Sociology",Slide,Sociology Slide,https://drive.google.com/drive/folders/1a5zWpoHKsict-Fs2Cg2D4qXQDTpxmhIB,covers basic of sociology,sociology
Hum 2113,"Economics, Government and Sociology",Slide,Economics Slide,https://drive.google.com/drive/folders/1SP_g_pp7vGkI8IHUhpUHsbaWF5aK44BS,economics concept slides by teacher,economics
CSE 2200,Technical Wiritng and Presentation Sessional,Slide,Technical Report Writing materials,https://drive.google.com/drive/folders/1zzhdWXcIRuOxLKiA61c4P8uGfMOuzncK,"focuses on technical report writing, presetation","report, presentation"
CSE 2201,Algorithm Analysis and Design,Book,Algorithm Book,https://drive.google.com/drive/folders/1fXvHDQjD-zV8tJlBuarLG7b4haNAbU8a,focuses on various programming algorithm,"algorithm, programming"
CSE 2201,Algorithm Analysis and Design,Slide,Algorithm Slide,https://drive.google.com/drive/folders/1NfUTcBvLxbgpPd4TSf5kHgD5ErzCB83h,algorithm slides made by teachers which covers basic concept,"algorithm, programming"
CSE 2201,Algorithm Analysis and Design,Video,Algorithm Video,https://www.youtube.com/watch?v=-JTq1BFBwmo&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O,algorithm tutorial by abdul bari which covers all concept,"algorithm, programming, video"
CSE 2202,Algorithm Analysis and Design Sessional,Lab Manual,Lab Materials of Algorithm,https://drive.google.com/drive/folders/1uaDDRBtTeKlmeu8UcprA8tvk-LMLs24M,algorithm sessional focuses on different kind of algorithm implementation,"algorithm, prgramming,lab"
CSE 2203,Numerical Methods,Book,Numerical Methods Book,https://drive.google.com/drive/folders/1JoiV1MfNBFj78C7lVE-0kpL3Gdstph7k,covers different kind of numerical methods and it's analysis thorugh programming,"numerical methods, numerical analysis"
