course_code,course_name,material_type,material_title,material_link,description,keywords
Math 1113,Differential and Itegral Calculus,Video,Video on C Differential and Integral Calculas,https://www.youtube.com/watch?v=-6RerbAHWDw&list=PLU6SqdYcYsfIJRl8mo2Rv1MpdvmVD0YyI,covers knowledge on Differential and Integral Calculus,"calculus, integration, differentiation"
Hum 1113,Functional English,Slide,Slides on Functional English,https://drive.google.com/drive/folders/14f0zmoxb9933edXh1UND9-rogCyw8VjC,"covers grammer,reading,writing,professional correspondance","grammer,english,reading,speaking,writing"
Hum 1113,Functional English,Book,Book on Functional English,https://drive.google.com/drive/folders/1po8utg6j2OkVF4e35vEsyp8DAFUCA7sG,"covers grammer,reading,writing,professional correspondance","grammer,english,reading,speaking,writing"
Hum 1113,Functional English,Video,Video on Functional English,https://www.youtube.com/watch?v=2CILRMaV118&list=PLCMINDMTXXry_3dHiRHZzG9EJE2gX92bu,"covers grammer,reading,writing,professional correspondance","grammer,english,reading,speaking,writing"
Hum 1114,Functional English Sessional,Lab Manual,Book on Functional English Sessional,https://drive.google.com/drive/folders/1po8utg6j2OkVF4e35vEsyp8DAFUCA7sG,"covers grammer,reading,writing,professional correspondance","grammer,english,lab,sessional,reading,speaking,writing"
Chem 1113,Inorganic and Physical Chemistry,Book,Book on Chemistry,https://drive.google.com/drive/folders/17Qvp9iHXcqm0X-Fo8QQoeFE5uaTfM4-x,covers inorganic and physical chemistry,"chemistry, inorganic, physical chemistry"
Chem 1113,Inorganic and Physical Chemistry,Note,Note on Chemistry,https://drive.google.com/drive/folders/1n4_NI3KdPrHMpN5CyITpHs1F9LocdB-y,covers inorganic and physical chemistry,"chemistry, inorganic, physical chemistry"
Chem 1113,Inorganic and Physical Chemistry,Slide,Slide on Chemistry,https://drive.google.com/drive/folders/1dRevoIaBMULuuP6fBnXcCJgib-G0-mfV,covers inorganic and physical chemistry,"chemistry, inorganic, physical chemistry"
Chem 1114,Inorganic and Physical Chemistry Sessional,Lab Manual,Lab Manual Chemistry,https://drive.google.com/drive/folders/1c8SmAtTA9dhJBHbcXWV3wZcZq9BXXIFz,covers inorganic and physical chemistry,"chemistry, inorganic, physical chemistry,lab"
CSE 1200,Competitve Programming Sessional,Lab Manual,Lab Manual on CP course,https://drive.google.com/drive/folders/1JfzMmOltVy5APyBM18Y8mdwckCLsxvPL,covers competitive programming knowledge,"cp, competitive programming"
CSE  1201,Data Structure,Book,Books on Data Structure,https://drive.google.com/drive/folders/1DKHWVHqoWrxn1uzC8m3Gh-gJZxYwggDF,data structure knowledge,"ds, data structure"
CSE  1201,Data Structure,Slide,Slides on Data Structure,https://drive.google.com/drive/folders/1lWl9K9xNz4HyzSRz4aQCjs-I8n2-Nnf_,data structure knowledge,"ds, data structure"
CSE  1201,Data Structure,Note,Note on Data Structure,https://drive.google.com/drive/folders/1NBoCfP7fSv2fBzMIel8_Jg9wGJXaTDi0,data structure knowledge,"ds, data structure"
CSE 1202,Data Structure Sessional,Lab Manual,Lab Manual on Data Structure,https://drive.google.com/drive/folders/1A1IlSFIciguuq9ofv1jyW9kgxaQEEr9e,data structure knowledge,"ds, data structure"
